Time  E_hot  E_cold
0  0  0
1000  -1.38414285587863  -0.864130300207675
2000  -0.547585829286899  0.345884310995705
3000  -1.30155963259402  1.41863958454416
4000  -0.956525822704278  0.449480290423535
5000  -5.01434128286495  0.0979891682386509
6000  -4.5296488190806  -1.96043663328015
7000  -3.43319026431519  0.350373450884144
8000  -5.64224855633604  1.67317138802774
9000  -8.62462144542349  2.19034123292426
10000  -7.79349719879579  5.27476650779149
11000  -8.72366355111893  4.24711485418301
12000  -11.9177752431804  5.96644191795226
13000  -10.2444838721966  7.23259158625906
14000  -8.05043992812054  8.52391749048501
15000  -10.25965104788  8.43119922474958
16000  -12.0830364089256  7.36596508816267
17000  -12.680270816048  8.9256535228286
18000  -11.7777767992898  10.1740647492332
19000  -13.5183419935454  8.08170242837368
20000  -11.1261489216235  8.10126402664795
21000  -12.9108391929503  10.4672992477048
22000  -12.4205443419894  11.7937952307041
23000  -12.6479541042108  11.8325717888254
24000  -14.7744581374198  10.1528189872892
25000  -15.7237438530694  12.917235817354
26000  -16.5003010844515  11.2583588717968
27000  -17.8233996695161  14.1553038824316
28000  -18.0070193039993  14.0370247132512
29000  -17.161801438405  12.013984664622
30000  -18.4433367404794  14.3815971570303
31000  -19.7217593126431  14.1923069374806
32000  -18.1071592376758  16.6328855484346
33000  -19.2196179394155  15.961485019561
34000  -19.4411852636613  18.1181682864662
35000  -20.4558976549485  17.4471239226356
36000  -23.5318466615751  18.599728120362
37000  -24.1623683861478  20.0693098972319
38000  -26.3675738891679  20.6241576167945
39000  -27.6240551375199  22.7607359718866
40000  -25.8687289522901  22.0077792451767
41000  -28.0256842106447  22.4230371957398
42000  -25.1687558776337  22.9266859223042
43000  -28.2952052691663  22.0014562479299
44000  -27.4382950328741  23.7981417806499
45000  -29.7768771586272  23.5994530375413
46000  -28.3544574498689  25.726956602712
47000  -28.8698575300441  24.2309782759211
48000  -29.4922386812632  25.9694150500156
49000  -31.3584214756605  26.6128319612694
50000  -32.2441643729626  27.0350365772564
51000  -32.8238101390655  27.2510913898536
52000  -33.318965861713  28.7973697190454
53000  -35.1285323497886  27.2942915652339
54000  -34.7263536876551  28.0849934784807
55000  -35.3666252883238  30.6021923220176
56000  -36.4861011693339  29.8305662537531
57000  -34.6562804988179  32.181766977357
58000  -36.8857096302007  32.2008386118658
59000  -37.1655205325104  32.5122434444348
60000  -38.0509415623358  33.3373896496851
61000  -39.855983571667  35.9697291296169
62000  -39.4741779877757  34.1825270475235
63000  -42.2037520827539  35.9283679267463
64000  -42.3695955025193  37.4202808742174
65000  -45.3315055986522  37.5983837895765
66000  -45.6624254238164  36.8450779302477
67000  -45.1397793429315  38.9759339651458
68000  -46.7368497343854  38.363631096918
69000  -46.9939414149767  38.824618304735
70000  -47.874363459992  39.4575874728521
71000  -46.6591576854319  41.063215570641
72000  -44.9058533735963  41.3697851593391
73000  -47.261189253338  43.059883322593
74000  -49.0170468296212  42.4629701359805
75000  -46.3734465462605  44.12383883581
76000  -49.0349492406015  45.3280668797967
77000  -49.3168052248328  46.2270285265868
78000  -48.7208245867201  43.0788078223729
79000  -52.8911661788718  46.5135030831834
