Time  E_hot  E_cold
0  0  0
1000  -0.0616348925694065  3.70740017380463
2000  1.30238773927367  5.28974722773919
3000  -1.7271046238616  4.05575850056458
4000  0.671680688135256  3.95824362263094
5000  -1.97861510582085  5.66967443120865
6000  -2.26870302684455  4.23911285276731
7000  0.563123813388853  3.92990967802045
8000  -2.07698504739085  6.79225148989025
9000  -2.4250641140054  6.34969162626486
10000  -4.13531535960858  8.93064442596085
11000  -1.31776685872887  8.5258572320977
12000  -2.76862872956425  9.76030158269772
13000  -4.34258522848509  6.8534729061703
14000  -4.62933647542909  9.37728419235134
15000  -4.95792160241965  9.94570298689744
16000  -4.48715966444287  13.1627178088362
17000  -6.42958222859972  8.87558069957526
18000  -9.12299432775698  11.248251841759
19000  -7.72341902673281  9.44896698922875
20000  -7.26024789423295  9.76575696904953
21000  -5.97028698634344  9.8564022460543
22000  -7.15883197729941  11.0407349312049
23000  -8.20860169775095  8.9231007098571
24000  -7.47879296348297  12.9638141748573
25000  -8.8144130130852  9.8149580543701
26000  -10.677111922077  11.80850073809
27000  -10.2480107418841  12.2695344267509
28000  -14.3861165002618  11.1368011687501
29000  -13.5825921481057  11.940825901544
30000  -10.3172015048224  12.0248415890831
31000  -10.4436150762676  14.4908408931939
32000  -11.9809600479898  13.6342457036305
33000  -10.2522456527665  15.7923059395016
34000  -12.5503598417359  16.2692449258242
35000  -10.4443578818546  15.6269055601078
36000  -11.0627953680273  18.1006540978975
37000  -10.9506203735274  19.0765960673062
38000  -14.1120697342634  19.1040827965174
39000  -13.2759221984871  15.5766267145384
40000  -11.9328467758435  21.1725554534955
41000  -13.0288801443437  22.5565409997479
42000  -13.5248385075596  22.2277647169924
43000  -15.1068314602276  22.2084233988515
44000  -12.6105852645672  22.4947271616844
45000  -13.1048792554762  22.0108293472817
46000  -13.0873867010387  24.161812626343
47000  -12.3006866711893  23.6870210943076
48000  -12.8916813233462  21.7738129144271
49000  -13.7915767658943  21.4008820903611
50000  -13.8307705921533  25.4716166378429
51000  -13.7309977959747  25.7111865157613
52000  -14.7259786229236  28.4965714669874
53000  -16.0517531270591  26.8134336749274
54000  -17.2242615151273  26.0400727846642
55000  -16.5561839742328  27.5464218896562
56000  -18.8850776206984  26.2285643200933
57000  -17.7528168680185  28.7766526399546
58000  -16.1044078774152  25.8615477314684
59000  -19.1549861825043  27.510108878596
60000  -21.2256145517513  30.2534866145505
61000  -20.0572959125518  33.5006290160633
62000  -20.9131941056907  31.4895693340165
63000  -19.9283231235066  30.1852894281791
64000  -18.6943981343382  32.7666340108857
65000  -18.0397568064169  31.8856060382806
66000  -20.8112671860467  32.714222722832
67000  -16.3506822797071  31.8589667574771
68000  -17.96103735623  33.5961009226797
69000  -16.6613445882079  34.903200173765
70000  -16.1742485291707  37.5960364821212
71000  -21.779296851882  36.9768629265159
72000  -21.3379734583974  38.9260032125448
73000  -21.3447491356608  38.2867300901784
74000  -20.1602592259821  37.9269292316431
75000  -18.7455742761902  39.4579061486226
76000  -19.1423638047824  38.6504245192079
77000  -21.9440112646772  37.3942706917177
78000  -23.4615893950955  38.5801279623185
79000  -20.8156405356273  37.3594442295077
80000  -24.5538921186137  38.4415254165345
81000  -20.265105873867  37.5072075249052
82000  -22.4320654730931  39.6533364560186
83000  -24.7221006140783  37.5014692758548
84000  -24.29023472689  39.7072520905746
85000  -22.4858486407168  37.6769017330918
86000  -23.9332602907056  41.2389010201974
87000  -27.6409841876487  39.2143335874232
88000  -25.2044610493432  41.837999328395
89000  -28.5395700314969  38.720327250236
90000  -23.8429446122368  41.4232854392487
91000  -27.2569073697598  39.5349316601951
92000  -27.9144716409896  38.6376337204383
93000  -30.5035287396616  40.233852913369
94000  -25.9594426499872  38.6509679292048
95000  -28.7517754493343  39.8568480623591
96000  -28.330124657821  41.1416815113553
97000  -28.8405665808538  39.3713585565274
98000  -28.7673499524479  39.9446381932125
99000  -27.8693697077202  39.7360146430271
100000  -28.9256112001311  41.9967516983081
101000  -30.5406186223875  40.1954087622469
102000  -30.5324976212528  41.3666116687659
103000  -31.5721120095488  44.4853301358941
104000  -31.3267741557891  43.9295374339402
105000  -32.7141850087511  44.6270305109746
106000  -31.9453901339777  45.7875746279871
107000  -34.3585248201033  46.3166836107339
108000  -36.3645507686967  48.5359264582626
109000  -33.7336997129697  47.9112177475522
110000  -36.0840191761743  47.8791859830796
111000  -37.9281471414726  49.5186338546974
112000  -36.3747017802638  49.150415459679
113000  -34.7364755179421  46.8368195321024
114000  -35.4001840488619  46.7482213332462
115000  -35.5817119609844  46.4892523556683
