time_ps,DeltaT_mean_K,DeltaT_SEM_K,Integral_DeltaT_Kps,Q_hot_mean_eV,Q_cold_mean_eV,Q_sym_mean_eV,Q_sym_SEM_eV,T_all_mean_K,fit_mask,Q_sym_fit_eV
0.0,49.54000223291157,0.7214371196207698,0.0,0.0,0.0,0.0,0.0,299.94753743317955,0,nan
0.5,48.548461901234816,0.7306696495407999,24.522116033536598,0.7607486577571307,0.7607490431046244,0.7607488504308776,0.07316910174516864,300.1271443022729,0,nan
1.0,48.411424448446155,0.6612303467258903,48.76208762095684,0.6183093704734347,0.618292521775038,0.6183009461242364,0.09570933010964687,299.9132605756591,1,0.9306483574186811
1.5,48.176623801851676,0.7020228821848272,72.9090996835313,0.7812584376018549,0.7812922171247919,0.7812753273633234,0.12152578046670458,299.92418194021434,1,1.1461856912763992
2.0,47.57523869969257,0.7405462566828269,96.84706530891737,1.237610473598761,1.2375244862847468,1.2375674799417538,0.15349344178809898,300.03463846631314,1,1.3598570670765624
2.5,46.973292632608,0.728445635153787,120.48419814199251,1.7738553706053608,1.7736557885546063,1.7737555795799835,0.181562319147128,300.2446871749639,1,1.5708431956161681
3.0,46.45296141129224,0.6644404271644655,143.84076165296756,2.0035851832260505,2.0035358928706044,2.0035605380483275,0.17388833530280862,299.92672411644196,1,1.7793249495569206
3.5,46.103861660179646,0.7156609680060178,166.97996742083552,2.1255455075979626,2.1254924807297355,2.125518994163849,0.2304276548930268,299.8484778815602,1,1.9858665583434307
4.0,45.31997380114829,0.7220442306922793,189.8359262861675,2.404608803871588,2.404647786460555,2.4046282951660714,0.20893191554804869,299.6215317661255,1,2.189879892325677
4.5,44.48712386256095,0.6871022189700424,212.2877007020948,2.687971243695938,2.6878813551797065,2.687926299437822,0.19300424692064855,299.76991984119707,1,2.3902854574301142
5.0,45.249732097510716,0.6525894219262514,234.72191469211273,2.918846477179386,2.9186848841893154,2.9187656806843507,0.22727356874347548,300.12886896622103,1,2.5905342773698865
5.5,44.65613879590236,0.695525447964022,257.19838241546597,3.1799809353421553,3.1798729193449615,3.1799269273435584,0.2434867361823525,299.82361745399373,1,2.791160256065576
6.0,44.31000499476996,0.7268503321520774,279.43991836313404,3.2828758454663785,3.2828036633196462,3.282839754393012,0.24584208037504748,299.7668488921058,1,2.9896892229886105
6.5,44.16263367319995,0.6890839090864965,301.5580780301265,3.3444895276400075,3.3443249126044976,3.3444072201222523,0.2316177125953699,300.0777638914161,1,3.1871169275886224
7.0,43.816193091141145,0.7792164103387431,323.5527847212118,3.5791938018497604,3.579123997940769,3.5791588998952646,0.25684227191810194,299.9140184385153,1,3.383442685280467
