subset,n_runs,primary_statistical_estimator,ensemble_average_fit_role,direction,LJMODE,CHI,T0_target_K,DT0_target_K,DeltaT0_mean_K,DeltaT0_SD_K,G_mean_MW_m2K,G_SD_MW_m2K,G_SEM_MW_m2K,G_bootstrap95_low_MW_m2K,G_bootstrap95_high_MW_m2K,G_CV_pct,R_mean_m2K_W,R_SD_m2K_W,R_SEM_m2K_W,R_bootstrap95_low_m2K_W,R_bootstrap95_high_m2K_W,mean_interface_T_K,mean_system_T_K,mean_energy_R2,ensemble_fit_status,ensemble_fit_G_MW_m2K,ensemble_fit_R_m2K_W,ensemble_fit_R_x1e8_m2K_W,ensemble_fit_R2,ensemble_fit_residual_lag1,ensemble_fit_end_ps,ensemble_fit_DeltaT0_K,ensemble_fit_hot_cold_disagreement_pct
ALL_POSITIVE_RUNS,20,mean_of_independent_run_fits,validation_only,MoS2->h-AlN,LB,1.0,300.0,50.0,49.044232067073196,3.1513930386266007,7.318629883728981,1.1745135597996985,0.262629216020739,6.807120400539595,7.818863872664585,16.048271035141642,1.4027348316572685e-07,2.4169365322297797e-08,5.404434383368398e-09,1.3038476441702426e-07,1.5096213628343744e-07,296.1573961248301,299.9648233001057,0.9735787523792062,OK,7.352019676281618,1.3601704620379406e-07,13.601704620379406,0.9989746225286092,0.8793516350604011,98.5,49.044232067073196,0.008212703977626691
QC_PASS_RUNS,5,mean_of_independent_run_fits,validation_only,MoS2->h-AlN,LB,1.0,300.0,50.0,51.215855813409995,2.793558147846342,7.923706838810594,0.7508051681648884,0.3357702787749703,7.409757331277257,8.564227960102283,9.475428400346898,1.2706447719073376e-07,1.138160072205078e-08,5.090006581453247e-09,1.1705992083627323e-07,1.3503412373329676e-07,295.2887381448367,299.360087198369,0.9845104521560708,OK,8.018468606684316,1.2471209267644758e-07,12.471209267644758,0.9967601294027455,0.8795916925871275,95.0,51.215855813409995,0.00866520235017042
