subset,n_runs,role,status,compatibility_issues,fit_start_ps,fit_end_ps,fit_duration_ps,end_fraction,end_fraction_threshold_reached,DeltaT0_K,mean_system_T_K,area_A2,G_sym_W_m2K,G_sym_MW_m2K,R_sym_m2K_W,R_sym_x1e8_m2K_W,R2_energy_sym,energy_fit_RMSE_eV,energy_fit_residual_lag1,G_hot_MW_m2K,G_cold_MW_m2K,side_fit_disagreement_pct
ALL_POSITIVE_RUNS,20,validation_only_independent_run_statistics_remain_primary,OK,NONE,1.0,98.5,97.5,0.25,True,49.044232067073196,299.9662960708049,19451.936377515,7352019.676281618,7.352019676281618,1.3601704620379406e-07,13.601704620379406,0.9989746225286092,0.2096508250754764,0.8793516350604011,7.352321576087811,7.351717776475422,0.008212703977626691
QC_PASS_RUNS,5,validation_only_independent_run_statistics_remain_primary,OK,NONE,1.0,95.0,94.0,0.25,True,51.215855813409995,299.36031483618416,19451.936377515,8018468.606684316,8.018468606684316,1.2471209267644758e-07,12.471209267644758,0.9967601294027455,0.40951429727585115,0.8795916925871275,8.018816014949394,8.018121198419239,0.00866520235017042
