time_ps,DeltaT_mean_K,DeltaT_SEM_K,Integral_DeltaT_Kps,Q_hot_mean_eV,Q_cold_mean_eV,Q_sym_mean_eV,Q_sym_SEM_eV,T_all_mean_K,fit_mask,Q_sym_fit_eV
0.0,51.58687603930639,1.2764934620597719,0.0,0.0,0.0,0.0,0.0,299.267964885318,0,nan
0.5,50.8448355875136,1.2807170813477164,25.607927906704997,0.748327325068567,0.7483111649191414,0.7483192449938543,0.1039014103499951,299.7243887301014,0,nan
1.0,50.36386535863922,0.8234539385343678,50.910103143243205,0.34871455474221874,0.34860806698052327,0.34866131086137103,0.1915733892379938,299.2321468107226,1,-0.09969842772018062
1.5,50.33632371866738,0.9181484225193481,76.08515041256985,0.5734917473928363,0.5737430759807467,0.5736174116867915,0.277581187955798,298.9743736035688,1,0.14538512915848079
2.0,50.12976877471001,1.2345275872748505,101.2016735359142,1.0365211927459312,1.03629749407919,1.0364093434125607,0.22298402093903769,299.5813960974094,1,0.3898989430806671
2.5,48.64524011046797,1.2646205466771987,125.8954257572087,1.4129936465404171,1.4127776962188363,1.4128856713796267,0.2320622823405374,299.45026505753384,1,0.6302970071768175
3.0,48.374340117038585,1.0229475658940173,150.15032081408535,1.5597622605102515,1.559614655198675,1.5596884578544632,0.32058739499706446,299.20393592043877,1,0.866422718825461
3.5,48.52355656148401,1.1825225084344606,174.374794983716,1.7277764960967033,1.7276584919593005,1.727717494028002,0.22054996382352446,299.2256112308432,1,1.1022522777332617
4.0,47.3837612227192,0.6853547512484773,198.3516244297668,2.191788414710755,2.1919675062803443,2.1918779604955496,0.19271515561892671,298.9004636884482,1,1.3356709712691777
4.5,45.793869787975815,1.1605026916879229,221.64603218244054,2.7563372217666258,2.7562339298194276,2.7562855757930267,0.3452614437286621,299.05990151018295,1,1.5624461684050774
5.0,46.58419498270981,1.4388388129148293,244.74054837511193,3.000333215250066,3.0004148977786826,3.0003740565143744,0.4177216518642875,299.1056356660482,1,1.7872753856986638
5.5,45.81757832628758,1.3677740771973705,267.8409917023613,3.0986013973681112,3.098695784919255,3.098648591143683,0.3813730046001364,298.741076603741,1,2.0121623047001727
6.0,46.046045563740776,0.8267149072600589,290.80689767486837,2.984547357145857,2.9846658261194534,2.984606591632655,0.49852478240381876,298.9912435640338,1,2.2357394786561
6.5,45.73359921911756,1.120140822313764,313.751808870583,3.1416854181226883,3.1415653596988706,3.1416253889107795,0.3139545935264804,299.33659264820824,1,2.4591122647307597
