Time  E_hot  E_cold
0  0  0
1000  -4.87854747457679  1.67581722643329
2000  -3.77454555901275  5.43255680031432
3000  -5.63914066526938  6.48613842473021
4000  -8.05389222079656  10.3835838271182
5000  -5.8762402199164  9.50187638231679
6000  -8.40239075106647  7.61696162747503
7000  -11.195217072051  9.5006620050044
8000  -8.52962253575417  8.20327324797192
9000  -12.7114563521155  9.64717522089524
10000  -14.8421110304803  12.6914048081862
11000  -12.4844696531346  15.0768538532887
12000  -14.2616743333772  15.420216065228
13000  -14.97535425459  15.6828061566172
14000  -17.5411622335572  16.1158988617061
15000  -17.2183108642203  14.7808062991674
16000  -15.6168756102256  17.0067334816071
17000  -18.9040384333066  17.307964487509
18000  -21.8988613806629  20.4231274030969
19000  -21.1847532669713  18.8050223486368
20000  -21.1413227887188  21.1577116754561
21000  -22.7496895171708  24.0722371767239
22000  -22.5664835412377  26.3190145254865
23000  -23.5064603505949  25.5786435815327
24000  -21.2153644154326  26.1283195504389
25000  -22.6667982116402  26.932821533234
26000  -21.3099097840397  26.1369690174397
27000  -24.3416336531875  30.5946727123513
28000  -21.8317270902596  31.1501620989205
29000  -24.0000727921929  32.9129887562045
30000  -25.1821235931724  31.4432009882682
31000  -26.4512040130574  34.2530470621525
32000  -30.634169552643  36.199875064211
33000  -30.0996185153522  36.2047580677603
34000  -30.7865516248722  38.9684922221263
35000  -31.1207607725173  39.0513599960543
36000  -31.9588125713641  37.6941239476058
37000  -30.6151321136688  39.3341452969919
38000  -34.29100420987  40.2372270422733
39000  -33.7041768324035  40.582391497289
40000  -34.9519437309872  40.6128870903042
41000  -36.438822498649  45.485530358623
42000  -35.03977925455  46.9500040142936
43000  -41.9353683955576  43.8531903556474
44000  -38.7140569860951  44.5922818588423
45000  -38.5107603414604  48.5657168655612
46000  -39.8569000670551  48.559555750587
47000  -41.4558829128638  48.3428578406941
48000  -42.1042832292607  50.8560255786271
49000  -43.3876866150139  53.9098413174701
50000  -42.8772183701529  54.0953617682062
51000  -42.8737411916008  51.9907973505047
52000  -46.2775759670901  54.5946827869331
53000  -49.2923106063261  53.2844877043873
54000  -48.5563054766108  56.0409931008194
55000  -50.6160622395498  53.3944661265969
56000  -49.6266264219403  56.3926093360267
57000  -48.7279146143872  56.500780720789
58000  -52.3159915407215  58.7196975386068
59000  -53.6891641216698  60.1009968227578
60000  -55.5655212921862  63.8332664880858
61000  -55.4516903281184  63.229271529853
62000  -58.1075764386078  64.9661292640657
63000  -56.726225757046  65.4278849945878
64000  -58.2991395244725  66.0641722602432
65000  -60.8374447066246  65.1641616171374
66000  -59.9483896229506  65.6632825293154
67000  -63.8677271444348  66.6317248284891
68000  -58.4584691743436  64.6757774553444
69000  -62.4372392109111  68.2021304161839
70000  -66.3701771458214  70.7225106920906
71000  -66.9850024588208  72.3611079444363
72000  -66.5020244511432  73.451698026929
73000  -65.8343344252591  75.230402781884
74000  -66.1832015718324  75.4133621966409
75000  -68.9408719106201  75.2139855765246
76000  -68.5343003403403  77.349937679555
77000  -69.6419161021932  77.2566503036182
78000  -74.4329857449852  75.7413425595192
79000  -75.4651038989708  79.7500569821713
80000  -72.5446605803692  76.0512406510738
81000  -75.0941108067538  80.0173847077483
82000  -79.1337904840418  80.380641213288
83000  -76.66138438313  79.7495010127198
84000  -80.6840091520638  79.73895542038
85000  -86.8875359198747  78.3113084279016
86000  -86.662870794037  83.9002339309497
87000  -83.2491660281123  82.7664669315984
88000  -88.7351241391707  83.639137124951
89000  -88.263813201348  82.7919260589283
90000  -90.2123689140592  83.5231574796573
91000  -91.7668756084741  82.5957963933418
92000  -89.181871532434  84.1692275575533
93000  -94.3692889876825  84.8595348868376
94000  -93.8556879939303  86.2329550965574
95000  -93.3137583408393  90.4011692244887
96000  -99.9216201137713  90.2749801030128
97000  -98.4750922346845  93.74986035644
98000  -97.9635860653902  95.2287828762533
99000  -97.6457998863646  93.67035873153
100000  -102.600288095869  96.8033910652983
101000  -104.247932118262  93.9519548433658
102000  -101.847620423403  93.6187044824071
103000  -106.603925240951  97.3463306955012
104000  -108.225512513072  98.2481310771723
105000  -107.008001156539  99.0620252395199
106000  -105.584196358146  102.986526309298
107000  -107.245382415922  102.826449887457
108000  -109.576751561301  105.214040752333
109000  -106.951398151201  108.736423932688
110000  -110.029159973926  108.851856790052
111000  -110.580122832638  108.699954861803
112000  -112.528588427498  112.634166024714
113000  -112.263024517032  111.974772118932
114000  -110.631659612876  112.53876364715
115000  -114.157125763538  112.747317572651
116000  -113.835697195748  116.370167951776
117000  -117.417322921311  117.288670215012
118000  -118.529336402671  117.545859261098
119000  -117.553575919147  118.140695959141
120000  -120.403671705462  118.762707295721
121000  -121.702491172569  121.530397064108
122000  -125.506855765872  121.542462772445
123000  -121.539957858661  121.250097016146
124000  -123.217826679034  120.109342245303
125000  -121.120687623807  124.418291676685
126000  -127.394328480559  125.785496345847
127000  -128.532711991313  124.395035038204
128000  -128.981052730575  125.229123177306
129000  -129.041566562319  129.348131825522
130000  -132.645591815031  125.054296540142
131000  -129.767416089258  129.459211876146
132000  -135.953108283426  130.272582677407
133000  -135.46936232079  129.859071787528
134000  -139.519392477457  134.114626347747
135000  -138.659795552483  133.292436882885
136000  -143.596564345102  135.906030738052
137000  -138.676938733003  133.665904545308
138000  -137.92989946868  135.639227433163
139000  -141.228577975558  136.207091788515
140000  -141.039995498059  137.327141986445
141000  -143.908563123665  138.528856491183
142000  -143.809423936255  137.038779510272
143000  -146.121520571572  137.452779824377
144000  -146.983351571563  139.242634315656
145000  -148.46093043769  141.568465932803
146000  -147.415896646397  142.750698740606
147000  -146.995637080267  142.33892599664
148000  -148.006994137076  143.694512445724
149000  -149.151715148181  147.87410211458
150000  -149.151925365589  146.439583140209
151000  -152.462462350738  149.917851012608
152000  -152.420552445714  147.213540456368
153000  -151.43458162238  146.143301945959
154000  -151.822723844895  151.637618477324
155000  -152.634003574316  152.213992401276
156000  -154.919419359899  152.76452869477
157000  -153.178479207  151.177421594312
158000  -153.505718191317  151.513040010706
159000  -154.852112693818  153.113983094314
160000  -161.155359372288  153.407762753712
161000  -159.675462458103  153.321116204351
162000  -157.910018018943  157.598877937107
163000  -162.909266948209  152.538392359639
164000  -164.39054204478  151.62600625001
165000  -166.777634867603  153.13371351947
166000  -163.804101850757  155.436972432131
167000  -164.840981251456  158.024280891773
168000  -168.076256097078  159.19168946425
169000  -167.045597196118  157.600215164962
170000  -169.534622602462  159.619214845399
171000  -165.658499493369  160.677614390504
172000  -166.059354359934  158.88758960989
173000  -169.109204896272  163.776780867776
174000  -171.817358646964  160.703132751198
175000  -169.793910798522  162.481461712462
176000  -173.858318558236  165.186081056701
177000  -170.989219891977  161.361512471988
178000  -175.463313215634  164.308982005244
179000  -175.342487947678  166.104856592651
180000  -176.141699953733  165.331744406596
181000  -180.778199891475  165.61696535807
182000  -180.017024275992  167.43499693734
183000  -181.102547058004  170.05959732967
184000  -180.449713535554  168.428381024625
185000  -182.626457283756  172.414567221602
186000  -177.824418610931  171.853037418145
187000  -180.197323018085  175.565839125517
188000  -180.294897455963  175.225129667127
189000  -180.129153076836  177.94806763186
190000  -184.02178414017  181.209410335681
191000  -185.707681079406  180.732594109884
192000  -188.162435399456  182.311528878889
193000  -182.44629798482  184.111750421718
194000  -185.974348126082  184.992118086458
195000  -188.345762027053  186.23153643499
196000  -188.347927232851  188.409610933801
197000  -190.926730047237  189.468379391942
198000  -193.400064259141  189.75526409433
199000  -194.198229120308  190.576411073127
200000  -194.470858187123  190.774887737279
201000  -196.245285602436  192.44437820391
202000  -199.485899060421  191.723907378683
203000  -198.370058161411  194.951992961451
204000  -195.773939966188  193.541384523097
205000  -200.425832446928  192.566175402165
206000  -199.040694513605  196.700925158633
207000  -204.804499292285  199.818117496943
208000  -204.460781405416  199.058019598883
209000  -204.501643193681  203.5292597285
210000  -206.485893810276  203.312639626023
211000  -204.71447146459  203.713804052758
212000  -207.241969027724  205.461487233817
213000  -207.392239861327  205.400558936456
214000  -204.723346633091  202.053084784876
215000  -204.483571372138  203.152419823376
216000  -202.228041204201  205.612850602574
217000  -211.571955735812  206.166094586297
218000  -211.548946106458  209.181406729686
219000  -209.418555282899  211.977706651232
220000  -210.921620766084  208.42738118996
