# h-AlN/h-MoS2 thermostat-free NVE interfacial thermal relaxation
# Step time_ps T_MoS2_K T_AlN_K T_all_K E_MoS2_eV E_AlN_eV Etotal_eV PEtotal_eV KEtotal_eV E_LJ_eV Area_A2 Gap_A RMS_upperS_A RMS_AlN_A Epartition_error_eV Natoms T0_target_K DT0_target_K CHI LJMODE_code HOT_code SEED T_MoS2_target_K T_AlN_target_K N_MoS2 N_AlN
0                     0       321.95038169864       272.41412487699       304.14300792417      -8111.0186690603      -24272.233982445      -32383.252651506      -32807.170869322       423.91821781596      -265.27395858721       19451.936377515       3.7567678726461       2.0472994398753       2.0431897154987   2.9103830456734e-11                 10784                   300                    50                     1                     0                     0               8222221       317.95252225519       267.95252225519                  6912                  3872
100                  0.05       321.05753605178       265.92403550321       301.24153570356      -8111.1312072457      -24272.120131709      -32383.251338954      -32803.125449555       419.87411060076      -265.35754089913       19451.936377515       3.7550425559573       2.0471379247991       2.0483747800654  -1.4551915228367e-11                 10784                   300                    50                     1                     0                     0               8222221       317.95252225519       267.95252225519                  6912                  3872
200                   0.1       322.97321070063       268.64081024335       303.45332657647      -8111.0174059835      -24272.235312273      -32383.252718257      -32806.209649835       422.95693157837      -265.53944605948       19451.936377515       3.7597476612987       2.0477226137187       2.0539127161245   5.0931703299284e-11                 10784                   300                    50                     1                     0                     0               8222221       317.95252225519       267.95252225519                  6912                  3872
300                  0.15       322.06261335428       269.55694335393       303.21064013974      -8111.1626255841      -24272.089542414      -32383.252167998      -32805.870840273       422.61867227579      -265.23559115968       19451.936377515       3.7623002654991       2.0465291133726       2.0612808527763  -5.0931703299284e-11                 10784                   300                    50                     1                     0                     0               8222221       317.95252225519       267.95252225519                  6912                  3872
400                   0.2       320.05957439176       269.00411555311       301.73369407672      -8111.0754658229      -24272.176079522      -32383.251545344      -32803.811632262        420.5600869178      -264.71912783075       19451.936377515       3.7674772008389       2.0462246536589       2.0677606007039   1.0913936421275e-10                 10784                   300                    50                     1                     0                     0               8222221       317.95252225519       267.95252225519                  6912                  3872
500                  0.25       323.72576807048       268.38710481533       303.85851411945      -8111.3228908231       -24271.92783563      -32383.250726454       -32806.77241335        423.5216868962      -264.77660205057       19451.936377515       3.7733740170004       2.0470417333554       2.0708479807072   3.6379788070917e-12                 10784                   300                    50                     1                     0                     0               8222221       317.95252225519       267.95252225519                  6912                  3872
600                   0.3       321.44090912442       269.74320404958        302.8662150175      -8111.7043444987      -24271.546896018      -32383.251240516      -32805.389848874       422.13860835788      -264.86235289615       19451.936377515        3.775775162118       2.0472102202082       2.0720693170165  -4.7293724492192e-11                 10784                   300                    50                     1                     0                     0               8222221       317.95252225519       267.95252225519                  6912                  3872
700                  0.35       322.26872391986       272.15915317759       304.25472184185      -8111.6124981645      -24271.640762935      -32383.253261099       -32807.32718713       424.07392603103      -264.66181962043       19451.936377515       3.7794786573164       2.0495508909823       2.0697351613932   2.9103830456734e-11                 10784                   300                    50                     1                     0                     0               8222221       317.95252225519       267.95252225519                  6912                  3872
800                   0.4       319.80449694442       273.04752385823       302.99744923852      -8111.9403918051       -24271.31126031      -32383.251652115      -32805.573176324       422.32152420878      -264.20544110138       19451.936377515        3.778056303522       2.0510291278926       2.0657907011251  -5.8207660913467e-11                 10784                   300                    50                     1                     0                     0               8222221       317.95252225519       267.95252225519                  6912                  3872
900                  0.45       321.09957224602       266.85605862999       301.61367579918      -8112.2140673845      -24271.036264186       -32383.25033157      -32803.643135555       420.39280398513      -264.58466026632       19451.936377515       3.7745638684078       2.0517146376405       2.0614155357959  -1.0913936421275e-10                 10784                   300                    50                     1                     0                     0               8222221       317.95252225519       267.95252225519                  6912                  3872
1000                   0.5       322.87502062166       276.52213598822       306.23169673332      -8112.8508219956      -24270.402505686      -32383.253327682      -32810.082785324       426.82945764223      -264.70226103562       19451.936377515        3.772439324328       2.0554008595071       2.0570237224064  -2.9103830456734e-11                 10784                   300                    50                     1                     0                     0               8222221       317.95252225519       267.95252225519                  6912                  3872
1100                  0.55       323.65152623678       274.08907673612       305.86040443273      -8113.0136237447      -24270.239121313      -32383.252745057      -32809.564690982       426.31194592487      -265.36506958705       19451.936377515       3.7665005834395       2.0553850745141       2.0555694630516   6.9121597334743e-11                 10784                   300                    50                     1                     0                     0               8222221       317.95252225519       267.95252225519                  6912                  3872
1200                   0.6       325.09528598721       268.71709514947       304.85921159763      -8112.8425167747      -24270.407296312      -32383.249813086       -32808.16628428       424.91647119328      -264.98075002629       19451.936377515       3.7621197967968       2.0564434769953        2.055778718426  -2.9103830456734e-11                 10784                   300                    50                     1                     0                     0               8222221       317.95252225519       267.95252225519                  6912                  3872
1300                  0.65        321.6155547273       270.82174228876       303.37152540738      -8112.3919762996      -24270.860790592      -32383.252766891      -32806.095683007       422.84291611554      -264.84158071355       19451.936377515       3.7592993451746       2.0577285093224       2.0585824613529   2.9103830456734e-11                 10784                   300                    50                     1                     0                     0               8222221       317.95252225519       267.95252225519                  6912                  3872
1400                   0.7       322.58393443794       277.58287632716       306.41605013303        -8112.28254888      -24270.971913746      -32383.254462625      -32810.340874275       427.08641164944      -264.79717003245       19451.936377515       3.7575801597496        2.057063658109       2.0626999448528  -1.0913936421275e-11                 10784                   300                    50                     1                     0                     0               8222221       317.95252225519       267.95252225519                  6912                  3872
1500                  0.75       323.44666440613       269.05228404649       303.91814293394      -8112.3322415029      -24270.916901246      -32383.249142749      -32806.853941011       423.60479826193      -264.70476270425       19451.936377515       3.7605785376708       2.0585340282446       2.0666544587036   7.6397554948926e-11                 10784                   300                    50                     1                     0                     0               8222221       317.95252225519       267.95252225519                  6912                  3872
1600                   0.8       325.81015215378       271.76374061513       306.41489878961      -8112.2355254563      -24271.017303362      -32383.252828818      -32810.337635711       427.08480689301       -265.6338537884       19451.936377515       3.7646944067941       2.0574739423853        2.071111152451  -4.0017766878009e-11                 10784                   300                    50                     1                     0                     0               8222221       317.95252225519       267.95252225519                  6912                  3872
